iter	Logloss
0	0.6787632987
1	0.6637536193
2	0.6486133286
3	0.6371854034
4	0.6264765143
5	0.6156197583
6	0.6039002585
7	0.592672663
8	0.5835209666
9	0.575376938
10	0.5673185696
11	0.5593550682
12	0.5521282461
13	0.5456463978
14	0.5393956598
15	0.5342458618
16	0.5272085477
17	0.5216619931
18	0.5169993128
19	0.5122244395
20	0.5077904421
21	0.5025040858
22	0.4982359566
23	0.4944555758
24	0.4899730921
25	0.4863573291
26	0.4830737316
27	0.4795924895
28	0.4765805648
29	0.4737292652
30	0.4704371436
31	0.4672802453
32	0.4650479499
33	0.4627524942
34	0.460607244
35	0.4582639412
36	0.4563010382
37	0.4545206893
38	0.4524916398
39	0.4507015168
40	0.4486875068
41	0.4471747634
42	0.4456320782
43	0.4440718322
44	0.4424484193
45	0.4411652055
46	0.439864981
47	0.4386276718
48	0.4373982713
49	0.4362401888
50	0.4348189895
51	0.4332754185
52	0.4322185705
53	0.431196309
54	0.429872768
55	0.4289896163
56	0.4281361013
57	0.4272094611
58	0.426372065
59	0.4255791114
60	0.4248968526
61	0.4240520725
62	0.423263957
63	0.4224636301
64	0.4218918906
65	0.4213340872
66	0.4206051219
67	0.4199186799
68	0.4193052536
69	0.4185402529
70	0.4180022246
71	0.4175501886
72	0.416905715
73	0.4163346843
74	0.4159289989
75	0.4154901335
76	0.4149718262
77	0.4144049038
78	0.4139836029
79	0.4135230394
80	0.4130447075
81	0.4126870318
82	0.412167435
83	0.4116577042
84	0.4112504756
85	0.4108335259
86	0.4104076664
87	0.4100199978
88	0.4095434394
89	0.4091752946
90	0.4088162483
91	0.4085435425
92	0.408225595
93	0.4079522611
94	0.4075611088
95	0.4070450226
96	0.4067801048
97	0.4064560023
98	0.4061508205
99	0.4058241596
100	0.4053278143
101	0.4050926549
102	0.4047693436
103	0.4044623086
104	0.4040089091
105	0.4036430253
106	0.4032638601
107	0.4029537908
108	0.4026996661
109	0.4024094145
110	0.4020806397
111	0.4018552898
112	0.4016915897
113	0.4014745653
114	0.4011199433
115	0.400867574
116	0.4006603725
117	0.4003678201
118	0.4000900551
119	0.3998758187
120	0.3996387924
121	0.3994142472
122	0.3991446507
123	0.3988948082
124	0.3987338773
125	0.3985145875
126	0.3982886549
127	0.3981168904
128	0.3979664551
129	0.397745524
130	0.3976026167
131	0.3972715215
132	0.3970547825
133	0.3968417523
134	0.3965465393
135	0.3963527572
136	0.3961947483
137	0.3960491354
138	0.3957919561
139	0.3955228684
140	0.395340667
141	0.3952119438
142	0.3951096076
143	0.3949492554
144	0.3947667011
145	0.3946175478
146	0.3944804772
147	0.3943145387
148	0.3940954057
149	0.3938440744
150	0.3937236598
151	0.3936024601
152	0.3934065307
153	0.393365401
154	0.3931788758
155	0.3929698984
156	0.392823205
157	0.392651324
158	0.3924600127
159	0.3923319908
160	0.3921813504
161	0.392003984
162	0.3917546928
163	0.3915827253
164	0.3914439753
165	0.3912257295
166	0.3910685874
167	0.3908472802
168	0.3905867748
169	0.3903640203
170	0.3901475022
171	0.3900044263
172	0.3898617315
173	0.3897519344
174	0.3896316878
175	0.3894999767
176	0.3892842675
177	0.3891081988
178	0.3889018072
179	0.3887190835
180	0.3886055699
181	0.3884861519
182	0.3882643958
183	0.3881464272
184	0.3879545203
185	0.3877867911
186	0.3876906735
187	0.3875242381
188	0.3874035856
189	0.3872547072
190	0.3871375623
191	0.386994745
