iter	Passed	Remaining
0	2	2371
1	4	2251
2	6	2160
3	8	2145
4	11	2248
5	13	2214
6	15	2243
7	18	2262
8	20	2301
9	23	2320
10	25	2320
11	28	2329
12	30	2311
13	32	2299
14	34	2295
15	37	2296
16	39	2288
17	41	2288
18	44	2291
19	46	2296
20	49	2287
21	51	2279
22	53	2282
23	56	2281
24	58	2278
25	60	2282
26	63	2277
27	65	2277
28	68	2297
29	70	2293
30	73	2292
31	75	2294
32	78	2297
33	80	2294
34	83	2290
35	85	2285
36	87	2287
37	90	2290
38	92	2287
39	95	2284
40	97	2282
41	99	2280
42	102	2277
43	104	2274
44	107	2271
45	109	2266
46	111	2263
47	113	2259
48	116	2259
49	118	2257
50	121	2261
51	123	2258
52	126	2255
53	128	2253
54	130	2248
55	133	2248
56	135	2245
57	137	2240
58	140	2236
59	142	2234
60	144	2228
61	147	2226
62	149	2224
63	151	2221
64	154	2219
65	156	2219
66	159	2215
67	161	2211
68	163	2208
69	165	2203
70	168	2198
71	170	2197
72	172	2194
73	175	2190
74	177	2187
75	179	2185
76	182	2181
77	184	2178
78	186	2175
79	188	2170
80	190	2165
81	193	2161
82	195	2162
83	198	2161
84	200	2157
85	203	2157
86	205	2153
87	207	2150
88	209	2148
89	212	2144
90	214	2142
91	216	2140
92	219	2136
93	221	2134
94	223	2131
95	226	2128
96	228	2126
97	230	2125
98	233	2123
99	235	2121
100	238	2120
101	240	2117
102	242	2116
103	245	2114
104	247	2111
105	250	2111
106	252	2110
107	255	2107
108	257	2103
109	259	2099
110	261	2096
111	263	2092
112	266	2090
113	268	2086
114	270	2083
115	272	2080
116	275	2076
117	277	2073
118	279	2072
119	282	2068
120	284	2066
121	286	2064
122	288	2060
123	292	2063
124	294	2061
125	296	2058
126	299	2056
127	300	2049
128	302	2040
129	304	2036
130	306	2034
131	308	2031
132	311	2029
133	313	2026
134	315	2023
135	318	2020
136	321	2022
137	323	2020
138	325	2017
139	327	2014
140	330	2012
141	332	2009
142	334	2007
143	337	2005
144	339	2001
145	341	1999
146	343	1995
147	346	1994
148	349	1993
149	351	1992
150	354	1991
151	357	1991
152	359	1990
153	361	1987
154	363	1983
155	366	1980
156	368	1977
157	370	1975
158	373	1974
159	375	1972
160	378	1971
161	380	1970
162	383	1969
163	386	1967
164	388	1966
165	391	1965
166	393	1965
167	396	1963
168	398	1960
169	400	1957
170	402	1951
171	405	1949
172	407	1947
173	409	1945
174	412	1943
175	414	1942
176	417	1940
177	419	1939
178	422	1936
179	424	1932
180	426	1930
181	428	1927
182	431	1925
183	433	1924
184	436	1922
185	438	1920
186	441	1919
187	444	1918
188	446	1915
189	448	1912
190	450	1909
191	453	1906
192	455	1904
193	457	1902
194	460	1900
195	462	1898
196	465	1896
197	467	1895
198	470	1892
199	472	1890
200	474	1888
201	477	1885
202	479	1882
203	481	1880
204	484	1877
205	486	1874
206	488	1872
207	491	1870
208	493	1867
209	495	1865
210	499	1866
211	501	1863
212	503	1861
213	506	1859
214	508	1855
215	510	1853
216	512	1850
217	515	1847
218	517	1845
219	519	1842
220	522	1841
221	524	1838
222	526	1836
223	529	1833
224	531	1830
225	534	1829
226	536	1827
227	539	1826
228	541	1824
229	544	1821
230	546	1818
231	548	1816
232	551	1814
233	553	1811
234	555	1809
235	558	1806
236	560	1805
237	562	1802
238	565	1800
239	567	1797
240	569	1794
241	572	1791
242	574	1790
243	577	1788
244	579	1787
245	582	1784
246	584	1783
247	587	1781
248	590	1779
249	592	1778
250	595	1776
251	598	1775
252	600	1772
253	602	1769
254	604	1766
255	606	1763
256	609	1761
257	611	1760
258	614	1758
259	617	1756
260	619	1754
261	622	1752
262	624	1749
263	626	1746
264	628	1744
265	631	1741
266	633	1739
267	636	1738
268	639	1736
269	641	1734
270	643	1732
271	646	1730
272	650	1731
273	652	1729
274	655	1726
275	657	1725
276	660	1723
277	662	1721
278	665	1718
279	667	1717
280	670	1715
281	673	1714
282	675	1711
283	678	1709
284	680	1707
285	683	1705
286	685	1703
287	688	1701
288	690	1698
289	693	1696
290	695	1694
291	697	1691
292	699	1688
293	702	1686
294	704	1683
295	706	1680
296	709	1678
297	711	1676
298	714	1674
299	716	1672
300	719	1669
301	721	1667
302	723	1665
303	727	1664
304	729	1662
305	732	1660
306	734	1658
307	737	1656
308	739	1653
309	742	1651
310	744	1650
311	747	1647
312	749	1645
313	752	1643
314	754	1641
315	757	1638
316	759	1636
317	762	1634
318	764	1632
319	767	1630
320	770	1628
321	772	1626
322	775	1624
323	777	1622
324	779	1619
325	782	1617
326	784	1614
327	786	1611
328	788	1608
329	790	1605
330	793	1603
331	795	1601
332	798	1599
333	800	1596
334	803	1594
335	805	1592
336	808	1590
337	810	1587
338	813	1585
339	816	1585
340	819	1583
341	821	1581
342	824	1578
343	826	1576
344	829	1574
345	832	1574
346	835	1572
347	838	1570
348	839	1565
349	842	1564
350	844	1562
351	847	1560
352	850	1557
353	852	1555
354	854	1553
355	857	1550
356	859	1548
357	862	1546
358	865	1544
359	867	1542
360	870	1540
361	872	1538
362	876	1537
363	878	1535
364	879	1530
365	882	1529
366	885	1527
367	887	1524
368	890	1522
369	893	1520
370	895	1518
371	897	1515
372	900	1513
373	902	1511
374	905	1508
375	907	1506
376	910	1504
377	914	1504
378	917	1503
379	920	1501
380	923	1499
381	925	1497
382	928	1495
383	930	1492
384	933	1491
385	935	1488
386	938	1486
387	941	1484
388	943	1482
389	946	1480
390	949	1478
391	951	1475
392	954	1473
393	956	1471
394	958	1468
395	961	1466
396	964	1464
397	966	1462
398	969	1459
399	971	1457
400	974	1455
401	976	1452
402	979	1450
403	981	1447
404	983	1445
405	986	1443
406	988	1440
407	991	1438
408	993	1435
409	996	1433
410	998	1431
411	1001	1428
412	1003	1426
413	1006	1424
414	1008	1421
415	1011	1419
416	1013	1416
417	1016	1414
418	1018	1412
419	1020	1409
420	1023	1407
421	1025	1404
422	1028	1402
423	1030	1400
424	1033	1397
425	1035	1395
426	1037	1392
427	1040	1390
428	1042	1387
429	1045	1385
430	1048	1383
431	1050	1381
432	1053	1379
433	1055	1376
434	1058	1374
435	1060	1372
436	1063	1369
437	1065	1367
438	1068	1365
439	1071	1363
440	1073	1361
441	1076	1359
442	1079	1357
443	1082	1355
444	1085	1353
445	1088	1351
446	1091	1349
447	1094	1348
448	1097	1346
449	1099	1344
450	1102	1342
451	1105	1340
452	1108	1338
453	1111	1336
454	1114	1334
455	1116	1332
456	1119	1330
457	1122	1328
458	1125	1326
459	1128	1324
460	1131	1322
461	1133	1320
462	1136	1318
463	1140	1317
464	1143	1315
465	1146	1313
466	1150	1312
467	1153	1311
468	1157	1310
469	1160	1308
470	1163	1307
471	1167	1305
472	1170	1304
473	1174	1303
474	1178	1302
475	1181	1300
476	1185	1299
477	1188	1298
478	1192	1296
479	1195	1294
480	1198	1293
481	1201	1291
482	1205	1290
483	1208	1288
484	1212	1287
485	1215	1285
486	1219	1284
487	1222	1282
488	1225	1280
489	1229	1279
490	1232	1277
491	1236	1276
492	1239	1274
493	1242	1273
494	1246	1271
495	1249	1269
496	1252	1267
497	1256	1266
498	1258	1263
499	1261	1261
500	1264	1259
501	1267	1257
502	1271	1256
503	1274	1254
504	1278	1253
505	1281	1251
506	1284	1249
507	1287	1247
508	1290	1245
509	1293	1243
510	1296	1241
511	1300	1239
512	1303	1237
513	1306	1235
514	1310	1233
515	1313	1232
516	1316	1230
517	1319	1228
518	1322	1226
519	1325	1223
520	1328	1221
521	1331	1219
522	1334	1217
523	1337	1214
524	1340	1212
525	1343	1210
526	1346	1208
527	1349	1206
528	1352	1203
529	1354	1201
530	1357	1199
531	1360	1196
532	1363	1194
533	1366	1192
534	1369	1190
535	1372	1187
536	1375	1185
537	1378	1183
538	1380	1181
539	1383	1178
540	1386	1176
541	1389	1174
542	1392	1171
543	1395	1169
544	1398	1167
545	1401	1165
546	1404	1162
547	1407	1160
548	1409	1158
549	1412	1155
550	1416	1153
551	1418	1151
552	1422	1149
553	1424	1147
554	1427	1144
555	1430	1142
556	1433	1139
557	1436	1137
558	1438	1134
559	1440	1132
560	1443	1129
561	1446	1127
562	1448	1124
563	1451	1121
564	1454	1119
565	1456	1116
566	1459	1114
567	1461	1111
568	1464	1109
569	1467	1106
570	1470	1104
571	1472	1101
572	1475	1099
573	1477	1096
574	1480	1094
575	1482	1091
576	1485	1088
577	1487	1086
578	1490	1083
579	1492	1080
580	1495	1078
581	1497	1075
582	1500	1073
583	1503	1070
584	1506	1068
585	1508	1065
586	1511	1063
587	1513	1060
588	1516	1058
589	1519	1055
590	1521	1053
591	1524	1050
592	1527	1048
593	1530	1045
594	1532	1043
595	1535	1040
596	1537	1038
597	1540	1035
598	1542	1032
599	1545	1030
600	1548	1027
601	1550	1025
602	1553	1022
603	1555	1019
604	1558	1017
605	1560	1014
606	1563	1012
607	1565	1009
608	1568	1006
609	1570	1004
610	1573	1001
611	1575	999
612	1578	996
613	1581	993
614	1583	991
615	1585	988
616	1588	985
617	1590	983
618	1593	980
619	1596	978
620	1599	975
621	1601	973
622	1605	971
623	1608	968
624	1610	966
625	1613	963
626	1616	961
627	1619	959
628	1622	956
629	1624	954
630	1627	951
631	1630	949
632	1632	946
633	1635	944
634	1638	941
635	1641	939
636	1644	936
637	1646	934
638	1650	932
639	1652	929
640	1655	927
641	1658	924
642	1661	922
643	1664	920
644	1667	917
645	1669	915
646	1672	912
647	1675	910
648	1678	907
649	1680	905
650	1683	902
651	1686	900
652	1689	897
653	1692	895
654	1694	892
655	1697	890
656	1700	887
657	1703	885
658	1706	882
659	1709	880
660	1711	877
661	1714	875
662	1717	872
663	1720	870
664	1722	867
665	1725	865
666	1728	862
667	1730	860
668	1733	857
669	1735	854
670	1738	852
671	1741	849
672	1743	847
673	1746	844
674	1749	842
675	1752	839
676	1755	837
677	1758	834
678	1761	832
679	1763	830
680	1766	827
681	1769	825
682	1772	822
683	1775	820
684	1777	817
685	1780	815
686	1783	812
687	1786	810
688	1789	807
689	1791	804
690	1794	802
691	1797	799
692	1799	797
693	1802	794
694	1805	792
695	1807	789
696	1810	786
697	1812	784
698	1815	781
699	1817	779
700	1820	776
701	1823	773
702	1825	771
703	1828	768
704	1831	766
705	1833	763
706	1836	761
707	1839	758
708	1841	755
709	1844	753
710	1847	750
711	1849	748
712	1852	745
713	1854	742
714	1856	740
715	1859	737
716	1861	734
717	1863	732
718	1866	729
719	1868	726
720	1871	724
721	1873	721
722	1875	718
723	1878	716
724	1880	713
725	1883	710
726	1885	708
727	1888	705
728	1890	702
729	1893	700
730	1895	697
731	1897	694
732	1899	692
733	1902	689
734	1905	686
735	1907	684
736	1909	681
737	1912	678
738	1914	676
739	1916	673
740	1919	670
741	1921	668
742	1924	665
743	1926	662
744	1929	660
745	1931	657
746	1933	654
747	1936	652
748	1938	649
749	1940	646
750	1943	644
751	1945	641
752	1947	638
753	1950	636
754	1953	633
755	1955	631
756	1957	628
757	1959	625
758	1962	623
759	1964	620
760	1967	617
761	1969	615
762	1972	612
763	1975	610
764	1977	607
765	1979	604
766	1982	602
767	1984	599
768	1986	596
769	1989	594
770	1991	591
771	1993	588
772	1996	586
773	1998	583
774	2001	581
775	2003	578
776	2005	575
777	2008	573
778	2010	570
779	2012	567
780	2015	565
781	2017	562
782	2020	559
783	2022	557
784	2025	554
785	2027	552
786	2030	549
787	2032	546
788	2034	544
789	2036	541
790	2039	538
791	2041	536
792	2043	533
793	2046	530
794	2048	528
795	2050	525
796	2053	523
797	2055	520
798	2058	517
799	2060	515
800	2062	512
801	2064	509
802	2067	507
803	2069	504
804	2072	501
805	2074	499
806	2077	496
807	2079	494
808	2081	491
809	2083	488
810	2086	486
811	2088	483
812	2091	481
813	2093	478
814	2095	475
815	2098	473
816	2100	470
817	2102	467
818	2105	465
819	2108	462
820	2111	460
821	2114	457
822	2117	455
823	2119	452
824	2121	450
825	2124	447
826	2126	444
827	2129	442
828	2131	439
829	2133	437
830	2136	434
